mainmenu.newgame,Nuova Partita
nightone.phoneguy.linetwentyfive,"Non sembra influenzare tutti gli animatronici, ma fà effetto su... uno di loro. *si schiarisce la voce*"
nightone.phoneguy.linetwentysix,"Uh, e per quanto riguarda il resto di loro, abbiamo una soluzione ancora più semplice."
nightone.phoneguy.linetwentyseven,"Vedi, sembra esserci un piccolo guasto nel sistema,"
nightone.phoneguy.linetwentyheight,"qualcosa riguardo i robot che ti vedono come un esoscheletro senza addosso il suo costume,"
nightone.phoneguy.linetwentynine,"e vogliono infilarti in un vestito, quindi, ti abbiamo dato una testa vuota di Freddy Fazbear, problema risolto!"
nightone.phoneguy.linethirty,"Puoi indossarla in qualsiasi momento, e lasciarla su per quanto vuoi."
nightone.phoneguy.linethirtyone,"Alla fine, tutto ciò che è entrato, tornerà indietro."
nightone.phoneguy.linethirtytwo,"Uh, qualcos'altro che vale la pena menzionare è il design moderno dell'edificio."
nightone.phoneguy.linethirtythree,"Potresti aver notato che non ci sono porte da chiudere. Ma ehi, hai una luce!"
nightone.phoneguy.linethirtyfour,"E pure se la tua torcia può finire senza energia, l'edificio non può. Dunque, non preoccuparti che il posto diventi buio."
nightone.phoneguy.linethirtyfive,"Beh, penso che sia tutto. Uh, dovresti essere a cavallo. Uh, controlla le luci, indossa la maschera di Freddy se ti serve,"
nightone.phoneguy.linethirtysix,"uh, tieni il carillon carico, un gioco da ragazzi."
nightone.phoneguy.linethirtyseven,"Passa una buona notte, ci sentiamo domani."
nighttwo.phoneguy.lineone,"Ah...ciao, salve! Uh, vedi, ti ho detto che la prima notte non sarebbe stata un problema. Sei un talento naturale!"
nighttwo.phoneguy.linetwo,"Uh, ormai sono sicuro che hai notato i vecchi modelli seduti nell'ufficina."
nighttwo.phoneguy.linethree,"Uh, provengono dal vecchio luogo. Ora li usiamo solo per parti di ricambio."
nighttwo.phoneguy.linefour,"All'inizio li volevamo riparare... uh,"
nighttwo.phoneguy.linefive,"avevano persino iniziato ad adattarli con alcune delle tecnologie più recenti,"
nighttwo.phoneguy.linesix,"ma erano semplicemente troppo brutti, sai? L'odore... uh,"
nighttwo.phoneguy.lineseven,dunque la compagnia ha deciso di prendere una direzione completamente nuova e di farli molto adatti ai bambini.
nighttwo.phoneguy.lineheight,"Uh, quelli più vecchi non dovrebbero essere in grado di camminare in giro,"
nighttwo.phoneguy.linenine,"ma se lo fanno, il trucco con la maschera di Freddy dovrebbe funzionare anche su di loro, dunque, beh, non importa."
nighttwo.phoneguy.lineten,Uh...heh...amo i vecchi personaggi. Hai mai visto Foxy il pirata?
nighttwo.phoneguy.lineeleven,"Oh aspetta...oh giusto, Foxy. Uh, hey ascolta, quello è sempre stato un pò nervoso, uh..."
nighttwo.phoneguy.linetwelve,"Non sono sicuro che il trucco della maschera di Freddy funzionerò su di lui, uh."
nighttwo.phoneguy.linethirteen,"se per qualche ragione si attiva durante la notte e lo vedi in piedi nel corridoio,"
nighttwo.phoneguy.linefourteen,basta che gli lampeggi la tua torcia di tanto in tanto.
nighttwo.phoneguy.linefifteen,Quei vecchi modelli erano sempre disorientati dalle luci forti.
nighttwo.phoneguy.linesixteen,"causavano il riavvio del sistema, o qualcosa del genere."
nighttwo.phoneguy.lineseventeen,"Uh, a pensarci, potresti volerlo provare in ogni stanza che possa avere qualcosa di indesiderato in essa."
nighttwo.phoneguy.lineeighteen,Potrebbe tenerli fermi per qualche secondo.
nighttwo.phoneguy.linenineteen,(Quel problema technico?) potrebbe essere anche in alcuno dei nuovi modelli.
nighttwo.phoneguy.linetwenty,Un'altra cosa - non ti dimenticare il carillon.
nighttwo.phoneguy.linetwentyone,"Sarò onesto, non mi è mai piaciuta quella specie di marionetta. Stava sempre..."
nighttwo.phoneguy.linetwentytwo,"pensando, e poteva andare ovunque..."
nighttwo.phoneguy.linetwentythree,"Non penso che una maschera di Freddy la ingannerebbe, quindi non dimenticarti del carillon."
nighttwo.phoneguy.linetwentyfour,"In ogni caso, sono sicuro che non sarà un problema. Uh, passa una buona notte, e ci sentiamo domani."
nightthree.phoneguy.lineone,Ciao ciao! Vedi? Te l'ho detto che non avresti avuto problemi!
nightthree.phoneguy.linetwo,Emm...uh... Foxy è mai apparso nel corridoio? Probabilmente no. Ero solo curioso.
nightthree.phoneguy.linethree,"Come ho già detto, lui è sempre stato il mio preferito. Hanno provato a ricreare Foxy, sai?"
nightthree.phoneguy.linefour,"Uh, credevano che il primo fosse troppo spaventoso,"
nightthree.phoneguy.linefive,dunque lo hanno ridisegnato per renderlo più adatto hai bambini e lo hanno messo nella Baia dei bambini.
nightthree.phoneguy.linesix,"Per intrattenere i ragazzi, sai..."
nightthree.phoneguy.lineseven,Ma i ragazzini di oggi non riescono propio a tenere le mani a posto.
nightthree.phoneguy.lineheight,Lo staff deve letteralmente rimettere insieme Foxy dopo ogni turno.
nightthree.phoneguy.linenine,Quindi alla fine hanno smesso di provarci e lo hanno lasciato come una specie di
nightthree.phoneguy.lineten,"""smonta e ricostruisci"" tipo di attrazzione."
nightthree.phoneguy.lineeleven,Ora è solo un pasticcio di parti.
nightthree.phoneguy.linetwelve,"Penso che i dipendenti si riferiscano a lui semplicemente come ""Mangle."" Uh..."
nightthree.phoneguy.linethirteen,"Oh, hey, prima che vada, uh, volevo tranquillizzarti riguardo a tutte le voci che potresti aver sentito ultimamente."
nightthree.phoneguy.linefourteen,"Uh, sai come queste storie locali vanno e vengono e raramente significano qualcosa."
nightthree.phoneguy.linefifteen,"Posso assicurarti personalmente che, qualunque cosa succeda là fuori,"
nightthree.phoneguy.linesixteen,"e per quanto tragica possa essere, non ha nulla a che fare con noi."
nightthree.phoneguy.lineseventeen,Sono solo voci e speculazioni... gente che cerca di fare soldi. Sai...
nightthree.phoneguy.lineeighteen,"Uh, la nostra guardia durante il giorno non ha segnalato nulla di insolito. Ed è di guardia dall'apertura alla chiusura."
nightthree.phoneguy.linenineteen,"Okay, beh comunque, resta lì e ti parlerò domani."
nightfour.phoneguy.lineone,"Ciao? Salve? Uh, hey, quarta notte! Te lo avevo detto che ci avresti preso la mano!"
nightfour.phoneguy.linetwo,"Ok, quindi, giusto per aggiornarti, uh, c'è stata una specie di, uh, indagine in corso."
nightfour.phoneguy.linethree,"Uh, potremmo finire per dover chiudere per qualche giorno... non so."
nightfour.phoneguy.linefour,Voglio sottolineare però che in realta è solo una precauzione
nightfour.phoneguy.linefive,"Uh, Fazbear Entertainment nega qualsiasi illecito."
nightfour.phoneguy.linesix,Queste cose accadono a volte. Uhm... Si sistemerà tutto in pochi giorni.
nightfour.phoneguy.lineseven,"Tieni d'occhio la situazione e ti terrò aggiornato. Uh, a proposito,"
nightfour.phoneguy.lineheight,"cerca di evitare il contatto visivo con qualsiasi animatronico stasera, se possibile."
nightfour.phoneguy.linenine,"Qualcuno potrebbe aver manomesso i loro sistemi di riconoscimento facciale, non ne siamo sicuri."
nightfour.phoneguy.lineten,"Ma i personaggi si stanno comportando in modo molto insolito, quasi aggressivo nei confronti dello staff."
nightfour.phoneguy.lineeleven,"Interagiscono bene con i bambini, ma quando incontrano un adulto, si limitano a... fissarli."
nightfour.phoneguy.linetwelve,"Uh... Comunque, tieni duro. Passerà tutto. Buona notte!"
nightfive.phoneguy.lineone,"Salve, ciao? Hey, bel lavoro, notte 5! Um hey, um, tieni gli occhi aperti stasera, ok?"
nightfive.phoneguy.linetwo,"Um, da quello che ho capito, l'edificio è bloccato, uh"
nightfive.phoneguy.linethree,"a nessuno è permesso entrare o uscire, sai, soprattutto per quanto riguarda... i precedenti dipendenti."
nightfive.phoneguy.linefour,"Uhm, quando avremo sistemato tutto, potremmo spostarti al turno di giorno, una posizione è appena diventata... disponibile."
nightfive.phoneguy.linefive,"Uh, non abbiamo ancora un sostituto per il tuo turno, ma ci stiamo lavorando."
nightfive.phoneguy.linesix,Proveremo a contattare il proprietario originale del ristorante.
nightfive.phoneguy.lineseven,"Uh, penso che il nome del posto fosse ""Fredbear's Family Diner"" o qualcosa del genere."
nightfive.phoneguy.lineheight,"Però è chiuso da anni, dubito che riusciremo a rintracciare qualcuno."
nightfive.phoneguy.linenine,"Bene, resisti solo per un'altra notte! Uh, aspetta lì! Buona fortuna!"
nightsix.phoneguy.lineone,"Ciao? Ciao...uh...cosa diavolo stai facendo lì, non hai ricevuto il promemoria,"
nightsix.phoneguy.linetwo,"uh, il posto è chiuso, almeno per un po'."
nightsix.phoneguy.linethree,"Qualcuno ha usato uno dei costumi. Ne avevamo uno in avanzo, un costume giallo,"
nightsix.phoneguy.linefour,qualcuno lo ha indossato...ora nessuno di loro si stà comportando bene.
nightsix.phoneguy.linefive,"Ascolta, ehm... finisci il tuo turno, è più sicuro che cercare di andartene nel cuore della notte."
nightsix.phoneguy.linesix,"Uh, abbiamo un altro evento in programma per domani, un compleanno."
nightsix.phoneguy.lineseven,"Farai il turno di giorno, indosserai la tua uniforme, starai vicino agli animatronici,"
nightsix.phoneguy.lineheight,"assicurati che non facciano del male a nessuno, okay, per ora resisti solo alla notte,"
nightsix.phoneguy.linenine,"uh, quando il posto alla fine riaprirà, probabilmente farò io stesso il turno di notte."
nightsix.phoneguy.lineten,"Ok, buonanotte e buona fortuna."
"mainmenu.video","Video"
"mainmenu.subtitles","Sottotitoli"
"mainmenu.subtitlesdescription","Abilità Sottotitoli"
"mainmenu.panoramaeffectdescription","Abilità l'effetto panoramico"
"mainmenu.yes","Si"
"mainmenu.no","No"
"mainmenu.select","Seleziona <sprite name=WiiU-A>"
"mainmenu.aspectratiodescription","Aspect ratio"
