mainmenu.newgame,Yeni oyun
nighttwo.phoneguy.linetwentytwo,"düşünüyor, ve her yere gidebilir..."
nighttwo.phoneguy.linetwentythree,"Freddy maskesinin onu kandıracağını düşünmüyorum, o yüzden müzik kutusunu unutmayın."
nighttwo.phoneguy.linetwentyfour,"Neyse, eminim sorun olmayacaktır. Uh, iyi geceler, yarın görüşürüz."
nightthree.phoneguy.lineone,Merhaba merhaba! Sana sorun yaşamayacağını söylemiştim!
nightthree.phoneguy.linetwo,"Foxy, koridorda hiç göründü mü? Muhtemelen hayır. Sadece merak ediyordum."
nightthree.phoneguy.linethree,"Dediğim gibi, o her zaman favorimdi. Foxy'yi yeniden yapmaya çalıştılar, biliyor musunuz?"
nightthree.phoneguy.linefour,"Uh, ilkinin fazla korkunç olduğunu düşündüler"
nightthree.phoneguy.linefive,o yüzden onu daha çocuk dostu olucak şekilde yeniden yaptılar
nightthree.phoneguy.linesix,ve ufaklıkları eğlendirmek için çocuk alanına koydular. Ama bildiğiniz üzere
nightthree.phoneguy.lineseven,günümüzde çocuklar ellerine kollarına sahip çıkamıyorlar.
nightthree.phoneguy.lineheight,"Çalılanlar, her vardiyadan sonra Foxy'yi kelimenin tam anlamıyla yeniden bir araya getirmek zorunda kalıyorlardı."
nightthree.phoneguy.linenine,Eninde sonunda uğraşmayı bırakıp onu bir tür...
nightthree.phoneguy.lineten,parçalayıp yeniden bir araya getirme eğlencesi olarak bıraktılar.
nightthree.phoneguy.lineeleven,Artık o sadece bir parça yığını.
nightthree.phoneguy.linetwelve,Sanırım çalışanlar ona 'Mangle' diye hitap ediyorlar.
nightthree.phoneguy.linethirteen,"Uh, hey, gitmeden önce, şey, son zamanlarda duymuş olabiliceğiniz söylentiler"
nightthree.phoneguy.linefourteen,hakkında sizi rahatlatmak istiyorum. Bu söylentiler gelip geçiçilerdir ve çoğu zaman bir anlam taşımazlar.
nightthree.phoneguy.linefifteen,"Size şahsen temin ederim ki, dışarıda ne oluyorsa olsun"
nightthree.phoneguy.linesixteen,"ve ne kadar trajik olursa olsun, bizim işletmemizle hiçbir alakası yoktur."
nightthree.phoneguy.lineseventeen,Bunların hepsi sadece söylenti ve tahminlerden ibaret... İnsanlar birkaç kuruş kazanmanın peşinde..
nightthree.phoneguy.lineeighteen,"Şey, gündüz nöbetçimiz hiçbir gariplik bildirmedi. ve o, açılıştan kapanışa kadar nöbette."
nightthree.phoneguy.linenineteen,"Tamam, her neyse, dayanın, yarın konuşuruz."
nightfour.phoneguy.lineone,"Merhaba? Merhaba? Şey, dördüncü gece! İşe alışacağınızı söylemiştim!"
nightfour.phoneguy.linetwo,"Tamam, uh, size haberleri vereyim.. bir tür soruşturma yapılıyor."
nightfour.phoneguy.linethree,"Uh, birkaç gün kapatmak zorunda kalabiliriz... bilmiyorum."
nightfour.phoneguy.linefour,"Ancak vurgulamak isterim ki, bu gerçekten sadece bir önlem."
nightfour.phoneguy.linefive,"Uh, Fazbear şirketi herhangi bir hatayı kabul etmiyor."
nightfour.phoneguy.linesix,Bunlar bazen olur. Uh... her şey birkaç güne hallolacaktır.
nightfour.phoneguy.lineseven,"Her şeye dikkat edin ve sizi bilgilendirmeye devam edeceğim. Uh, ancak"
nightfour.phoneguy.lineheight,"bu gece mümkünse, animatroniklerle göz teması kurmaktan kaçının."
nightfour.phoneguy.linenine,"Biri, yüz tanıma sistemleriyle oynamış olabilir – emin değiliz."
nightfour.phoneguy.lineten,"karakterler personele karşı gerçekten çok garip, neredeyse agresif davranıyorlar."
nightfour.phoneguy.lineeleven,"Çocuklarla gayet iyi geçiniyorlar ancak, bir yetişkinle karşılaştıklarında sadece... boş boş bakıyorlar."
nightfour.phoneguy.linetwelve,"Uh... her neyse, dayan. Her şey geçicek. İyi geceler!"
nightfive.phoneguy.lineone,"Merhaba, merhaba? Hey, aferin beşinci gece! Uh, şey, bu gece her şeye dikkat edin tamam mı?"
nightfive.phoneguy.linetwo,"Uh, anladığım kadarıyla, bina kilit altında,"
nightfive.phoneguy.linethree,"kimsenin girip çıkmasına izin verilmiyor, özellikle de eski çalışanlarla ilgili olarak."
nightfive.phoneguy.linefour,"Her şeyi hallettiğimizde, sizi gündüz vardiyasına alabiliriz, yeni bir pozisyon açıldı. "
nightfive.phoneguy.linefive,"Uh, henüz sizin vardiyanıza birini bulamadık ancak üzerinde çalışıyoruz. "
nightfive.phoneguy.linesix,Restoranın asıl sahibine ulaşmaya çalışacağız. 
nightfive.phoneguy.lineseven,Sanırım mekanın adı “Fredbear'ın Aile Lokantası” ya da onun gibi bir şeydi. 
nightfive.phoneguy.lineheight,"Gerçi yıllardır kapalı, birini bulabileceğimizden şüpheliyim."
nightfive.phoneguy.linenine,Sadece bir gece daha dayanın! İyi geceler!
nightsix.phoneguy.lineone,"Merhaba? Merhaba... uh... orada ne yapıyorsunuz, bildiriyi almadınız mı?"
nightsix.phoneguy.linetwo,"Uh, mekan kapalı, en azından bir süreliğine."
nightsix.phoneguy.linethree,"Biri kostümlerden birini kullandı. Arkada sarı renkte bir tane yedek vardı,"
nightsix.phoneguy.linefour,biri onu kullandı... şimdi hiçbiri düzgün davranmıyor.
nightsix.phoneguy.linefive,"Dinle, s-sadece vardiyanızı bitirin, gece yarısı çıkmaya çalışmaktan daha güvenli."
nightsix.phoneguy.linesix,"Uh, yarın için bir etkinliğimiz daha var, bir doğum günü."
nightsix.phoneguy.lineseven,"Gündüz vardiyasındasınız, üniformanızı giyin, animatroniklere yakın durun,"
nightsix.phoneguy.lineheight,"kimseye zarar vermediklerinden emin olun, tamam mı? Uh, şimdilik sadece geceyi atlatmaya çalışın,"
nightsix.phoneguy.linenine,"Uh, mekan nihayet tekrar açıldığında, muhtemelen gece vardiyasını ben alırım."
nightsix.phoneguy.lineten,"Tamam, iyi geceler ve bol şans."
